id,geography,totpop,fem18_49,per_fem,medinc,moe_medinc
36061009900,"Census Tract 99, New York County, New York city, New York",1945,721,37.1,128906.0,14704.0
36061010000,"Census Tract 100, New York County, New York city, New York",1992,617,31.0,112098.0,27814.0
36061010100,"Census Tract 101, New York County, New York city, New York",1116,316,28.299999999999997,159821.0,16784.0
36061010200,"Census Tract 102, New York County, New York city, New York",230,54,23.5,,
36061010300,"Census Tract 103, New York County, New York city, New York",2058,775,37.7,94607.0,13651.0
36061010400,"Census Tract 104, New York County, New York city, New York",966,237,24.5,111806.0,28324.0
36061010601,"Census Tract 106.01, New York County, New York city, New York",7351,1179,16.0,125488.0,14020.0
36061010602,"Census Tract 106.02, New York County, New York city, New York",4875,1436,29.5,120053.0,17918.0
36061010800,"Census Tract 108, New York County, New York city, New York",9039,2780,30.8,127109.0,23481.0
36061010900,"Census Tract 109, New York County, New York city, New York",183,84,45.9,135750.0,118971.0
36061011000,"Census Tract 110, New York County, New York city, New York",7169,2324,32.4,103797.0,22663.0
36061011100,"Census Tract 111, New York County, New York city, New York",3512,1246,35.5,105750.0,14705.0
36061011201,"Census Tract 112.01, New York County, New York city, New York",992,254,25.6,138250.0,50132.0
36061011202,"Census Tract 112.02, New York County, New York city, New York",441,81,18.4,192857.0,82681.0
36061011203,"Census Tract 112.03, New York County, New York city, New York",1401,372,26.6,128083.0,27382.0
36061011300,"Census Tract 113, New York County, New York city, New York",117,41,35.0,82361.0,29445.0
36061011401,"Census Tract 114.01, New York County, New York city, New York",1412,247,17.5,197500.0,37671.0
36061011402,"Census Tract 114.02, New York County, New York city, New York",2397,527,22.0,151131.0,28652.0
36061011500,"Census Tract 115, New York County, New York city, New York",2303,683,29.7,86741.0,14531.0
36061011600,"Census Tract 116, New York County, New York city, New York",3543,1277,36.0,72152.0,13623.0
36061011700,"Census Tract 117, New York County, New York city, New York",3364,1277,38.0,107125.0,14069.0
36061011800,"Census Tract 118, New York County, New York city, New York",8767,2544,28.999999999999996,125588.0,30414.0
36061011900,"Census Tract 119, New York County, New York city, New York",1120,137,12.2,11671.0,1150.0
36061012000,"Census Tract 120, New York County, New York city, New York",3971,712,17.9,148833.0,40452.0
36061012100,"Census Tract 121, New York County, New York city, New York",8554,2027,23.7,62301.0,16375.0
36061012200,"Census Tract 122, New York County, New York city, New York",3633,615,16.900000000000002,156218.0,27533.0
36061012400,"Census Tract 124, New York County, New York city, New York",10218,3426,33.5,117225.0,18160.0
36061012500,"Census Tract 125, New York County, New York city, New York",2719,956,35.199999999999996,150682.0,21997.0
36061012600,"Census Tract 126, New York County, New York city, New York",12774,3704,28.999999999999996,112614.0,31356.0
36061012700,"Census Tract 127, New York County, New York city, New York",6928,1935,27.900000000000002,69578.0,6905.0
36061012800,"Census Tract 128, New York County, New York city, New York",6270,1109,17.7,175259.0,33245.0
36061012900,"Census Tract 129, New York County, New York city, New York",6038,1830,30.3,111290.0,20087.0
36061013000,"Census Tract 130, New York County, New York city, New York",4195,583,13.900000000000002,244375.0,87688.0
36061013100,"Census Tract 131, New York County, New York city, New York",2816,894,31.7,85195.0,13257.0
36061013200,"Census Tract 132, New York County, New York city, New York",10590,3724,35.199999999999996,78647.0,10759.0
36061013300,"Census Tract 133, New York County, New York city, New York",6208,2089,33.7,81974.0,18456.0
36061013400,"Census Tract 134, New York County, New York city, New York",11174,3711,33.2,97801.0,10994.0
36061013500,"Census Tract 135, New York County, New York city, New York",6596,1851,28.1,62290.0,11169.0
36061013600,"Census Tract 136, New York County, New York city, New York",15344,4265,27.800000000000004,108587.0,12991.0
36061013700,"Census Tract 137, New York County, New York city, New York",6471,1753,27.1,142982.0,28183.0
36061013800,"Census Tract 138, New York County, New York city, New York",12444,4081,32.800000000000004,118358.0,25196.0
36061013900,"Census Tract 139, New York County, New York city, New York",9257,2732,29.5,91952.0,22692.0
36061014000,"Census Tract 140, New York County, New York city, New York",7813,1859,23.799999999999997,137700.0,37582.0
36061014200,"Census Tract 142, New York County, New York city, New York",4462,673,15.1,235455.0,43299.0
36061014300,"Census Tract 143, New York County, New York city, New York",25,2,8.0,,
36061014401,"Census Tract 144.01, New York County, New York city, New York",4864,1147,23.599999999999998,101750.0,21279.0
36061014402,"Census Tract 144.02, New York County, New York city, New York",6743,2023,30.0,117656.0,22922.0
36061014500,"Census Tract 145, New York County, New York city, New York",5542,1879,33.900000000000006,161685.0,29461.0
36061014601,"Census Tract 146.01, New York County, New York city, New York",4274,1682,39.4,120257.0,23922.0
36061014602,"Census Tract 146.02, New York County, New York city, New York",7904,2720,34.4,97632.0,19046.0
36061014700,"Census Tract 147, New York County, New York city, New York",2755,1041,37.8,137328.0,40035.0
36061014801,"Census Tract 148.01, New York County, New York city, New York",2863,709,24.8,167667.0,28249.0
36061014802,"Census Tract 148.02, New York County, New York city, New York",7066,1967,27.800000000000004,109493.0,34118.0
36061014900,"Census Tract 149, New York County, New York city, New York",5842,1582,27.1,154972.0,31969.0
36061015001,"Census Tract 150.01, New York County, New York city, New York",2294,416,18.099999999999998,151625.0,32006.0
36061015002,"Census Tract 150.02, New York County, New York city, New York",5437,765,14.099999999999998,156500.0,39951.0
36061015100,"Census Tract 151, New York County, New York city, New York",8306,2556,30.8,67125.0,20946.0
36061015200,"Census Tract 152, New York County, New York city, New York",7275,1960,26.900000000000002,82308.0,23320.0
36061015300,"Census Tract 153, New York County, New York city, New York",9320,2694,28.9,140083.0,38731.0
36061015400,"Census Tract 154, New York County, New York city, New York",13749,4378,31.8,80803.0,14490.0
36061015500,"Census Tract 155, New York County, New York city, New York",9350,2221,23.799999999999997,106157.0,21696.0
36061015601,"Census Tract 156.01, New York County, New York city, New York",5345,2250,42.1,88620.0,9491.0
36061015602,"Census Tract 156.02, New York County, New York city, New York",2298,648,28.199999999999996,50455.0,10657.0
36061015700,"Census Tract 157, New York County, New York city, New York",10751,3170,29.5,122734.0,34648.0
36061015801,"Census Tract 158.01, New York County, New York city, New York",5650,1580,28.000000000000004,136750.0,37809.0
36061015802,"Census Tract 158.02, New York County, New York city, New York",3346,1441,43.1,100642.0,17446.0
36061015900,"Census Tract 159, New York County, New York city, New York",9623,2388,24.8,117900.0,17123.0
36061016001,"Census Tract 160.01, New York County, New York city, New York",3744,625,16.7,222222.0,33480.0
36061016002,"Census Tract 160.02, New York County, New York city, New York",3131,902,28.799999999999997,87167.0,27892.0
36061016100,"Census Tract 161, New York County, New York city, New York",6437,1919,29.799999999999997,126727.0,14242.0
36061016200,"Census Tract 162, New York County, New York city, New York",9308,2242,24.099999999999998,21577.0,5389.0
36061016300,"Census Tract 163, New York County, New York city, New York",6624,1794,27.1,109971.0,14613.0
36061016400,"Census Tract 164, New York County, New York city, New York",6127,1585,25.900000000000002,33493.0,9622.0
36061016500,"Census Tract 165, New York County, New York city, New York",6402,1722,26.900000000000002,126346.0,25220.0
36061016600,"Census Tract 166, New York County, New York city, New York",7317,1983,27.1,35306.0,6662.0
36061016700,"Census Tract 167, New York County, New York city, New York",6564,1550,23.599999999999998,113276.0,18067.0
36061016800,"Census Tract 168, New York County, New York city, New York",5675,1202,21.2,26136.0,7756.0
36061016900,"Census Tract 169, New York County, New York city, New York",8108,2324,28.7,107401.0,32267.0
36061017000,"Census Tract 170, New York County, New York city, New York",7855,1758,22.400000000000002,30711.0,7237.0
36061017100,"Census Tract 171, New York County, New York city, New York",8989,2229,24.8,115331.0,31450.0
36061017200,"Census Tract 172, New York County, New York city, New York",5504,1429,26.0,35017.0,5821.0
36061017300,"Census Tract 173, New York County, New York city, New York",8939,2303,25.8,113750.0,14700.0
36061017401,"Census Tract 174.01, New York County, New York city, New York",5248,1255,23.9,21435.0,6042.0
36061017402,"Census Tract 174.02, New York County, New York city, New York",2093,597,28.499999999999996,37426.0,15350.0
36061017500,"Census Tract 175, New York County, New York city, New York",10820,2368,21.9,137344.0,30453.0
36061017700,"Census Tract 177, New York County, New York city, New York",9151,1944,21.2,77957.0,19064.0
36061017800,"Census Tract 178, New York County, New York city, New York",3912,1102,28.199999999999996,32896.0,9025.0
36061017900,"Census Tract 179, New York County, New York city, New York",9293,2379,25.6,75997.0,12074.0
36061018000,"Census Tract 180, New York County, New York city, New York",7476,2006,26.8,31842.0,4386.0
36061018100,"Census Tract 181, New York County, New York city, New York",8866,2136,24.099999999999998,70075.0,24512.0
36061018200,"Census Tract 182, New York County, New York city, New York",6768,1741,25.7,23451.0,5972.0
36061018300,"Census Tract 183, New York County, New York city, New York",8667,2306,26.6,100956.0,33658.0
36061018400,"Census Tract 184, New York County, New York city, New York",7835,2034,26.0,25581.0,3819.0
36061018500,"Census Tract 185, New York County, New York city, New York",4190,1026,24.5,91776.0,20338.0
36061018600,"Census Tract 186, New York County, New York city, New York",5701,1472,25.8,24769.0,11011.0
36061018700,"Census Tract 187, New York County, New York city, New York",8974,2128,23.7,110385.0,14268.0
36061018800,"Census Tract 188, New York County, New York city, New York",6008,1567,26.1,29146.0,7673.0
36061018900,"Census Tract 189, New York County, New York city, New York",11547,2713,23.5,28158.0,6515.0
36061019000,"Census Tract 190, New York County, New York city, New York",3083,858,27.800000000000004,58750.0,11440.0
36061019100,"Census Tract 191, New York County, New York city, New York",8807,2206,25.0,83188.0,20825.0
36061019200,"Census Tract 192, New York County, New York city, New York",3584,898,25.1,16206.0,1956.0
36061019300,"Census Tract 193, New York County, New York city, New York",9009,2554,28.299999999999997,32236.0,11012.0
36061019400,"Census Tract 194, New York County, New York city, New York",6558,1680,25.6,27273.0,11367.0
36061019500,"Census Tract 195, New York County, New York city, New York",8197,2164,26.400000000000002,117045.0,25802.0
36061019600,"Census Tract 196, New York County, New York city, New York",3931,842,21.4,19045.0,5094.0
36061019701,"Census Tract 197.01, New York County, New York city, New York",641,237,37.0,72000.0,21439.0
36061019702,"Census Tract 197.02, New York County, New York city, New York",2090,630,30.099999999999998,63135.0,21333.0
36061019800,"Census Tract 198, New York County, New York city, New York",1914,463,24.2,70481.0,17336.0
36061019900,"Census Tract 199, New York County, New York city, New York",10064,3470,34.5,76902.0,8994.0
36061020000,"Census Tract 200, New York County, New York city, New York",2581,735,28.499999999999996,66000.0,16866.0
36061020101,"Census Tract 201.01, New York County, New York city, New York",1731,669,38.6,82353.0,14454.0
36061020102,"Census Tract 201.02, New York County, New York city, New York",3865,1168,30.2,54563.0,6386.0
36061020300,"Census Tract 203, New York County, New York city, New York",3633,1786,49.2,36667.0,16046.0
36061020500,"Census Tract 205, New York County, New York city, New York",5322,2592,48.699999999999996,111875.0,30984.0
36061020600,"Census Tract 206, New York County, New York city, New York",2942,834,28.299999999999997,39468.0,8268.0
36061020701,"Census Tract 207.01, New York County, New York city, New York",3329,1368,41.099999999999994,60798.0,11831.0
36061020800,"Census Tract 208, New York County, New York city, New York",4591,1325,28.9,42220.0,8831.0
36061020901,"Census Tract 209.01, New York County, New York city, New York",3673,909,24.7,32848.0,10865.0
36061021000,"Census Tract 210, New York County, New York city, New York",6637,1694,25.5,29811.0,4644.0
36061021100,"Census Tract 211, New York County, New York city, New York",10330,3041,29.4,53389.0,15849.0
36061021200,"Census Tract 212, New York County, New York city, New York",4412,1149,26.0,52263.0,5507.0
36061021303,"Census Tract 213.03, New York County, New York city, New York",5619,1478,26.3,37628.0,7577.0
36061021400,"Census Tract 214, New York County, New York city, New York",3001,778,25.900000000000002,44405.0,6150.0
36061021500,"Census Tract 215, New York County, New York city, New York",3068,820,26.700000000000003,33477.0,7115.0
36061021600,"Census Tract 216, New York County, New York city, New York",7556,2211,29.299999999999997,46250.0,6779.0
36061021703,"Census Tract 217.03, New York County, New York city, New York",6,3,50.0,,
36061021800,"Census Tract 218, New York County, New York city, New York",6617,1762,26.6,47155.0,9711.0
36061021900,"Census Tract 219, New York County, New York city, New York",6023,1495,24.8,19025.0,5379.0
36061022000,"Census Tract 220, New York County, New York city, New York",5370,1665,31.0,47808.0,10415.0
36061022102,"Census Tract 221.02, New York County, New York city, New York",2175,667,30.7,42284.0,14016.0
36061022200,"Census Tract 222, New York County, New York city, New York",2644,765,28.9,32361.0,14495.0
36061022301,"Census Tract 223.01, New York County, New York city, New York",7917,1962,24.8,37500.0,4507.0
36061022302,"Census Tract 223.02, New York County, New York city, New York",3385,861,25.4,24241.0,5099.0
36061022400,"Census Tract 224, New York County, New York city, New York",6427,1698,26.400000000000002,25000.0,7981.0
36061022500,"Census Tract 225, New York County, New York city, New York",10149,2626,25.900000000000002,48157.0,12687.0
36061022600,"Census Tract 226, New York County, New York city, New York",3778,1062,28.1,36627.0,10037.0
36061022700,"Census Tract 227, New York County, New York city, New York",4864,1341,27.6,47597.0,6894.0
